,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
0,Afador,Mixed Breed Dogs,20 to 29 inches,24.5,50 to 75 pounds,62.5,10 to 12 years,11.0,2,1,1,3,3,4,2,3,4,2,3,1,3,4,3.0,2,3,4,4,4,1,5,4,4.0,4.0,4,4,4,4,4,3
1,Affenhuahua,Mixed Breed Dogs,6 to 12 inches,9.0,4 to 12 pounds,8.0,13 to 18 years,15.5,3,4,4,4,1,2,3,3,4,3,2,2,3,2,1.0,4,4,5,1,3,3,3,4,2.0,4.0,2,3,4,3,3,3
2,Affenpinscher,Companion Dogs,9 to 11 inches tall at the shoulder,10.0,7 to 9 pounds,8.0,12 to 14 years,13.0,3,5,4,3,1,3,3,3,5,1,4,3,2,1,1.0,3,4,3,1,3,2,4,4,3.0,2.0,2,4,4,3,3,4
3,Afghan Hound,Hound Dogs,24 to 26 inches tall at the shoulder,25.0,50 to 60 pounds,55.0,10 to 12 years,11.0,4,5,3,5,2,5,5,4,5,5,4,2,2,4,1.0,1,3,1,4,3,1,4,3,5.0,2.0,5,4,5,2,4,4
4,Airedale Terrier,Terrier Dogs,21 to 23 inches tall at the shoulder,22.0,40 to 65 pounds,52.5,10 to 13 years,11.5,2,1,2,3,2,3,3,4,4,4,4,3,3,2,1.0,2,3,4,3,5,4,5,5,5.0,4.0,4,5,5,3,5,5
5,Akbash,Working Dogs,27 to 34 inches,30.5,75 to 140 pounds,107.5,10 to 12 years,11.0,3,1,2,3,4,4,2,4,5,4,3,2,4,4,2.0,3,4,4,4,3,3,4,3,1.0,3.0,1,2,2,2,2,3
6,Akita,Working Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",2.0,70 to 130 pounds,100.0,10 to 12 years,11.0,3,2,2,5,1,5,2,2,5,1,1,2,4,5,5.0,1,4,4,4,4,2,3,3,4.0,5.0,4,4,4,3,4,5
7,Akita Chow,Mixed Breed Dogs,23 to 25 inches,24.0,88 to 145 pounds,116.5,10 to 12 years ,11.0,3,2,1,4,2,5,2,1,1,1,1,2,3,4,3.0,1,2,4,4,3,2,4,3,4.0,2.0,3,4,4,4,4,2
8,Akita Pit,Mixed Breed Dogs,16 to 23 inches,19.5,30 to 70 pounds,50.0,10 to 12 years,11.0,3,3,1,2,4,3,3,3,4,3,3,2,4,3,3.0,4,4,4,4,3,3,4,3,4.0,3.0,1,3,3,4,3,3
9,Akita Shepherd,Mixed Breed Dogs,24 to 28 inches,26.0,75 to 120 pounds,97.5,10 to 13 years,11.5,3,3,3,2,3,4,3,3,4,3,3,3,3,4,2.0,3,3,3,4,3,4,4,2,3.0,1.0,2,3,3,3,4,3
10,Alaskan Klee Kai,Companion Dogs,13 to 17 inches,15.0,10 to 15 pounds,12.5,12 to 16 years,14.0,3,3,2,4,2,5,2,3,4,3,2,2,3,4,2.0,4,4,2,2,4,4,4,2,5.0,3.0,4,4,4,2,4,4
11,Alaskan Malamute,Working Dogs,"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder",6.0,75 to 100 pounds,87.5,12 to 15 years,13.5,2,1,1,4,1,5,2,4,4,3,2,5,3,5,1.0,1,4,3,4,4,4,4,3,4.0,5.0,5,5,5,5,5,5
12,American Bulldog,Working Dogs,20 to 28 inches,24.0,60 to 120 pounds,90.0,10 to 16 years,13.0,2,1,1,4,1,2,2,3,5,4,2,2,3,1,4.0,4,3,2,4,3,4,3,2,4.0,2.0,3,4,4,4,4,4
